corruption_perception,country,freedom,gdp_per_capita,generosity,happiness_rank,happiness_score,life_expectancy,region,social_support,year
100.0,Switzerland,91.92955801104972,66.62738549618321,57.96484375000001,1,96.30831643002031,82.50920245398771,Western Europe,82.08698296836982,2015
100.0,Switzerland,80.87983425414365,72.86879770992365,54.84960937500001,2,94.72616632860041,75.63803680981594,Western Europe,69.66180048661799,2016
100.0,Switzerland,85.64510727455607,74.66505502016506,56.74790591001503,4,94.42190584256247,75.20870197038711,Western Europe,92.26957086809063,2017
100.0,Switzerland,91.16022099447513,67.74809160305342,50.0,5,94.27991886409737,81.24452234881683,Western Europe,94.2214111922141,2018
100.0,Switzerland,79.00552486187846,69.27480916030534,51.3671875,6,94.13793103448278,92.19982471516214,Western Europe,92.82238442822384,2019
46.48122829182211,Iceland,86.84668508287291,62.13358778625955,85.21484375,2,95.78093306288032,83.07099035933392,Western Europe,85.29379562043793,2015
49.20865278685304,Iceland,78.2099447513812,68.06583969465649,93.12109375,3,94.5638945233266,76.01489921121822,Western Europe,71.97445255474452,2016
50.449650474937734,Iceland,86.62467338762222,70.6408883779103,92.87894936278458,3,94.62475024178842,73.05452428712438,Western Europe,97.96678874904501,2017
45.347539796899625,Iceland,93.50828729281767,64.07442748091604,68.9453125,4,94.44219066937121,80.10517090271692,Western Europe,100.0,2018
38.77543257995765,Iceland,81.62983425414363,65.83969465648855,69.140625,4,94.42190669371196,89.92112182296232,Western Europe,98.78345498783455,2019
100.0,Denmark,89.69337016574586,63.238549618320604,66.67773437500001,3,95.09127789046656,76.6555652936021,Western Europe,82.76034063260339,2015
100.0,Denmark,80.02900552486189,68.78721374045801,70.646484375,1,95.0709939148073,69.6792287467134,Western Europe,70.78710462287104,2016
100.0,Denmark,86.46501691301877,70.7243803803249,69.39072045497599,2,94.98985468494972,69.46235973515286,Western Europe,94.35046183221836,2017
100.0,Denmark,94.33701657458562,64.45610687022901,55.468749999999986,3,95.65922920892494,76.07361963190183,Western Europe,96.71532846715328,2018
100.0,Denmark,81.76795580110497,65.9828244274809,49.21875,2,96.57200811359026,87.29184925503944,Western Europe,95.68126520681265,2019
100.0,Norway,92.50414364640883,69.6087786259542,67.771484375,4,94.98985801217039,77.58194566170027,Western Europe,80.9580291970803,2015
100.0,Norway,82.33287292817678,75.25954198473282,74.013671875,4,94.50304259634886,69.74496056091148,Western Europe,68.54622871046229,2016
100.0,Norway,87.76555074512623,77.12133513152148,70.70551509968945,1,95.29412128378843,69.8217793998752,Western Europe,93.28002187167336,2017
100.0,Norway,94.75138121546959,69.46564885496183,55.859375,2,96.45030425963488,75.4601226993865,Western Europe,96.2287104622871,2018
100.0,Norway,83.28729281767954,70.99236641221374,52.9296875,3,95.63894523326573,90.09640666082383,Western Europe,96.2287104622871,2019
100.0,Canada,87.4267955801105,63.27719465648855,89.474609375,5,93.06288032454364,79.37160385626643,North America,80.45072992700729,2015
100.0,Canada,79.2403314917127,68.7094465648855,87.56640625,6,92.59634888438133,72.53286590709904,North America,66.67274939172749,2016
94.43182078718849,Canada,84.40620332791656,70.57272978411355,85.06635203957559,7,90.81135871686025,73.1426513999518,North America,90.10638633783698,2017
95.62416000650575,Canada,90.19337016574585,63.45419847328244,62.6953125,7,91.0547667342799,78.52760736196318,North America,93.18734793187346,2018
100.0,Canada,80.66298342541435,65.12404580152672,55.664062499999986,9,90.04056795131847,91.06047326906224,North America,91.54501216545012,2019
100.0,Finland,88.63121546961324,61.557729007633576,45.607421875,6,92.63691683569981,77.92375109553025,Western Europe,80.1861313868613,2015
100.0,Finland,78.87292817679557,67.07919847328245,49.7890625,5,92.7789046653144,71.0701139351446,Western Europe,69.0170316301703,2016
100.0,Finland,85.35232827149693,68.87270635320945,47.94585402123633,5,93.91480451665115,70.916535455234,Western Europe,93.68897354515813,2017
100.0,Finland,94.06077348066296,62.26145038167938,39.45312499999999,1,97.22109533468563,76.59947414548643,Western Europe,96.83698296836981,2018
100.0,Finland,82.32044198895026,63.93129770992366,29.8828125,1,100.0,86.41542506573181,Western Europe,96.53284671532846,2019
100.0,Netherlands,85.04972375690608,63.42748091603053,92.98828125,7,92.06896551724138,78.25065731814198,Western Europe,77.86922141119221,2015
98.34172634071123,Netherlands,76.25828729281767,69.8797709923664,92.609375,7,91.27789046653145,71.19281332164769,Western Europe,62.5985401459854,2016
92.88419113933662,Netherlands,80.8542110643334,71.75308374958206,91.89254487864669,6,92.04867860124747,71.05136941547046,Western Europe,86.91844423902006,2017
96.93858144989413,Netherlands,88.12154696132596,64.93320610687022,65.03906249999999,6,93.34685598377284,76.95004382120946,Western Europe,90.51094890510949,2018
97.92439753243542,Netherlands,76.93370165745857,66.6030534351145,62.890625,5,94.30020283975658,87.55477651183173,Western Europe,92.57907542579073,2019
100.0,Sweden,91.13259668508287,63.535782442748086,70.82421875,8,91.78498985801218,79.83085013146363,Western Europe,78.41058394160584,2015
100.0,Sweden,80.41160220994475,69.26574427480917,74.71484375,10,90.30425963488844,72.84925503943909,Western Europe,66.1581508515815,2016
100.0,Sweden,84.65802471940688,71.29710252958397,75.27329144068065,9,90.16227018035214,72.8199087037631,Western Europe,89.91254072119706,2017
100.0,Sweden,91.02209944751381,64.64694656488548,55.664062499999986,9,90.77079107505071,80.01752848378615,Western Europe,91.30170316301702,2018
100.0,Sweden,79.28176795580109,66.17366412213738,52.1484375,7,91.35902636916835,88.43120070113936,Western Europe,90.4501216545012,2019
100.0,New Zealand,88.3121546961326,59.6459923664122,92.77539062500001,9,90.20283975659231,79.61174408413673,Australia and New Zealand,80.27189781021899,2015
